Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
0.67556167,-0.79117525,1.6014112,0.67447525,-0.87992704,-0.29164827,1.7285498,1.3138301,-2.032322,1.1571597,1.2119284,-0.25770828,0.15819548,0.44084844,1.299513,2.1170037,1.1626658,2.1873443,0.34266886,1.7167826,1.5919722,0.19770819,2.2664979,1.6197518,-0.14784157
0.64976716,-0.69253135,1.548302,0.6736104,-0.8456735,-0.071526945,1.7254678,1.1568298,-1.9842511,1.1466701,1.2015333,0.058782373,0.2589599,0.45855066,1.4367766,1.7530231,1.0259584,2.1762774,0.34947166,1.5599235,1.6683174,0.2417944,2.0617094,1.6189959,-0.073994644
0.6665193,-0.6057225,1.6564478,0.53146476,-0.71645194,0.10779208,1.7577698,1.0064687,-2.1557975,1.2599739,1.1778677,0.40192294,0.24924432,0.50821096,1.3244652,1.5873442,0.90798974,2.1285698,0.35561877,1.4909948,1.6560402,0.22330004,1.9492875,1.5636294,-0.066225894
0.6846212,-0.58662456,1.7554854,0.37259176,-0.72521335,0.060930308,1.7571278,0.9883759,-2.33723,1.309121,1.1685451,0.437774,0.27972168,0.38048604,1.0462664,1.6299568,0.8645727,2.1258366,0.33804977,1.4902842,1.5783318,0.19622308,1.9840592,1.5256896,-0.11118335
0.6438574,-0.6659071,1.8577845,0.33785227,-0.77964634,-0.0117385425,1.7172465,1.1231184,-2.4054542,1.1905993,1.1725311,0.41592202,0.33068997,0.145119,0.7532981,1.837901,0.9309836,2.1316006,0.31987762,1.5862579,1.5323085,0.17385715,2.1886232,1.7737392,-0.18769705
0.6284003,-0.6632017,1.8378218,0.30561832,-0.733707,-0.018507246,1.617654,1.2293546,-2.4078825,1.2044537,1.1805556,0.3585293,0.48997724,-0.035982866,0.47718462,1.425346,0.85482377,2.1198628,0.3298837,1.4878517,1.6625493,0.1674704,1.9628154,1.7635272,-0.10458244
0.55740577,-0.647898,1.7840792,0.14408962,-0.6358714,0.037549254,1.5319101,1.2850753,-2.3198447,1.2717067,1.1870271,0.38365218,0.59621525,-0.11393972,0.3714001,1.1940295,0.91378766,2.0909932,0.30696636,1.4269551,1.7512417,0.15058678,1.8288975,1.4846356,-0.04636652
0.49910378,-0.6853071,1.7478956,0.094342634,-0.75172514,0.08346093,1.5406653,1.2795037,-2.1383238,1.2674458,1.1769027,0.7536427,0.68204975,-0.04506405,0.39681277,1.2950552,0.95973223,2.0859823,0.316276,1.4435021,1.7365553,0.15478271,1.8417398,1.3244917,-0.0556804
0.47639728,-0.77196425,1.6460085,0.13086335,-0.9106045,0.13187838,1.6235956,1.1897765,-2.0203412,1.1409901,1.1700178,1.1367913,0.78505576,0.075542256,0.49145743,1.6064563,1.0825292,2.0609953,0.30536819,1.620363,1.6281425,0.13541847,2.1135247,1.5471888,-0.14389563
0.44964576,-0.94215995,1.63634,0.38893875,-1.2133859,0.10419434,1.7037046,1.1887019,-1.9731017,0.9935858,1.1658429,1.253722,0.65866154,0.13220643,0.5666382,1.5295414,0.8350877,1.871777,0.33181584,1.6471808,1.4856257,0.11511261,2.14359,1.6601222,-0.14020568
0.44716316,-0.9138595,1.575383,0.2525567,-1.1701926,0.058675405,1.6997179,1.0887524,-2.0672045,1.0337597,1.1532907,1.0612264,0.6252138,0.1588739,0.5957784,1.1507298,0.65194947,1.8061582,0.35148394,1.5284376,1.5689929,0.12134177,1.9250993,1.7017741,-0.0660627
0.40710813,-0.97299254,1.4401165,0.24966697,-1.3797603,0.014641698,1.6292409,1.1756287,-1.9282511,0.7447416,1.1229142,0.80674225,0.74067223,0.14096083,0.6498456,0.8615727,0.65454835,1.8579104,0.33290872,1.3825783,1.7578253,0.11888201,1.7372705,1.5248427,-0.0074066
0.3897569,-0.8360557,1.2300516,0.08413558,-1.2795067,0.009582814,1.4733375,1.1156528,-1.8157665,0.51518464,1.0989404,0.6332614,0.9538135,0.07814841,0.7100591,0.8652343,0.6095555,2.01522,-0.69824725,1.2213469,1.8487214,-0.8225396,1.6453439,1.3061886,-0.91398996
