Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
1.5498974,-0.9719502,1.1026796,0.9648127,-1.6418056,0.20740819,1.5402025,-0.32441968,-0.036542535,-1.2482232,1.1734632,-0.27482787,0.8771262,0.37635985,0.53340954,0.85086334,0.40616348,1.4166617,0.4710917,1.2771991,1.1442533,0.340316,1.7398202,0.5721494,0.1967467
1.6313199,-0.90220135,1.2006608,0.7378373,-1.6872215,0.67876554,1.4900277,-0.44021413,-0.26186582,-1.558049,1.1473087,-0.09717217,0.56221485,0.54902005,0.57761794,0.8924933,0.424805,1.5145807,0.44576693,1.2425033,1.2714907,0.3388285,1.7201852,0.75783175,0.16926748
1.5795937,-0.8573644,1.2782155,0.767771,-1.7951479,0.912561,1.6063586,-0.3842378,-0.48199806,-1.701916,1.1303747,0.4343044,0.3513683,0.6484132,0.568071,0.83980227,0.43100458,1.5026759,0.44207233,1.1819395,1.3370359,0.38456303,1.6717361,0.7803933,0.19758356
1.5612409,-0.73576736,1.2388941,0.7340833,-2.04055,0.6187927,1.7008632,-0.35025263,-0.5670136,-1.8101228,1.1216927,0.4117987,0.22401236,0.6778259,0.54745144,0.8721145,0.375616,1.6821898,0.4534331,1.0842136,1.4553322,0.411516,1.6319752,0.7239885,0.19125366
1.5182695,-0.671601,1.1805308,0.8360184,-2.166991,0.3913077,1.7482299,-0.28958178,-0.6298728,-1.7956927,1.1141899,0.16782695,0.16573583,0.67914367,0.48679718,0.9483266,0.36555675,1.7664278,0.4611637,1.065154,1.4944324,0.4100911,1.663627,0.7333629,0.1834225
1.4832919,-0.65707994,1.216412,0.68602926,-2.2341592,0.37837416,1.7817969,-0.21710064,-0.69955647,-1.7613877,1.1028031,0.04872862,0.1489241,0.7538976,0.38823465,1.1635047,0.96016926,1.8794621,0.44471616,1.5307934,1.5619048,0.32490855,2.037881,0.9381624,0.14386314
1.3267375,-0.7057175,1.3080734,0.53194946,-2.3170848,0.4484505,1.8422425,-0.06998472,-0.7080885,-1.742938,1.0978532,0.021132741,0.33289003,0.85321975,0.3134056,1.2295864,0.8581586,1.8411723,0.4627784,1.5279744,1.6320777,0.2825597,2.0084667,1.0614171,0.13910568
1.1495229,-0.8603704,1.4269032,0.3942521,-2.4582398,0.42827404,1.8870004,0.13886899,-0.70903504,-1.757219,1.0900962,-0.032936122,0.5531143,0.89985466,0.24083921,1.264331,0.8764253,1.9030452,0.44547278,1.5109718,1.7807225,0.2549637,1.9865981,1.1450584,0.11414539
0.9747906,-1.0961674,1.4884664,0.4809371,-2.4683673,0.3601988,1.8738849,0.3203143,-0.69453716,-1.642106,1.0882562,-0.07556805,0.68860453,0.8986376,0.18272772,1.1654671,0.48881072,1.7696714,0.49263412,1.1570381,1.82714,0.277934,1.7359467,1.1224844,0.13996142
0.8362632,-1.2817335,1.5152034,0.5422664,-2.5215,0.20121068,1.8115656,0.46202782,-0.64115095,-1.5035375,1.0876456,-0.09151003,0.81944275,0.9016911,0.15711686,1.1643198,0.5436025,1.8333577,0.50990117,1.2490131,2.0442915,0.25793248,1.7648239,1.111814,0.14615607
0.74678695,-1.3836311,1.4508444,0.6786491,-2.4032736,0.12097049,1.7665948,0.5300957,-0.49466202,-1.3181406,1.0874258,-0.11389032,0.7171703,0.8874331,0.11803017,1.1378355,0.5631019,1.8193961,0.5124429,1.2570177,1.9911704,0.2419005,1.7254982,0.9951816,0.14331335
0.729864,-1.3732495,1.36467,0.74482983,-2.1168635,0.10096109,1.7050474,0.5117433,-0.34164646,-0.9394553,1.0837357,-0.117416635,0.5627111,0.9087639,0.10552899,1.1891252,0.61664265,1.7879775,0.511854,1.3190676,1.9639695,0.21515805,1.7055782,0.9624508,0.117707364
0.6818776,-1.2752899,1.2901045,0.8863513,-1.7110627,0.074888885,1.6722816,0.52982163,-0.3999145,-0.544167,1.0903314,-0.13093661,0.64094514,0.92286974,0.098603226,1.2372047,0.59541994,1.7080396,0.5248918,1.2758831,1.7518355,0.20749241,1.706982,0.90480214,0.11580949
0.6375618,-1.2247084,1.284398,0.9347801,-1.4387271,-0.003724698,1.6353108,0.6803336,-0.44310555,-0.353975,1.0929992,-0.11046617,0.62604624,0.9229878,0.08784685,1.3430201,0.54532474,1.6189017,0.5344136,1.2841601,1.6064869,0.19717818,1.7454858,0.8690048,0.09538608
0.5790521,-1.1767459,1.2537311,1.0022027,-1.2175684,-0.03810293,1.5954567,0.8321605,-0.36890534,-0.2915577,1.0883172,-0.14063405,0.42621064,0.89774644,0.12534133,1.3981153,0.51381975,1.6347294,0.5563027,1.2978891,1.5393852,0.170129,1.7775222,0.89162105,0.089371316
0.5349524,-1.277315,1.3106661,0.9485888,-1.1731054,-0.088116884,1.5888261,1.024306,-0.17791101,-0.32923743,1.0925683,-0.13034105,0.14518808,0.8693439,0.15649447,1.4688109,0.4669935,1.6056864,0.5785892,1.3067696,1.6321853,0.13724285,1.7971231,0.8706738,0.07947575
0.49231195,-1.4285079,1.3396858,0.8167432,-1.2019801,-0.13393277,1.594603,1.1387284,0.1326333,-0.35471165,1.093502,-0.12991482,0.004780581,0.8398579,0.20524767,1.5769577,0.5135163,1.8080919,0.56104004,1.3933781,1.9618545,0.09152538,1.8130062,1.1295483,0.058700435
0.40556976,-1.5909109,1.4115654,0.58248854,-1.1884284,-0.09573406,1.6363727,1.2444992,0.4800749,-0.35737398,1.1028581,-0.15197837,0.07920151,0.83016217,0.2855532,1.7453768,0.5551506,1.8462679,0.53968245,1.5713508,2.0474293,0.03284938,1.9021689,1.4144385,0.019503169
0.30841133,-1.7260491,1.4785471,0.50321096,-0.97755134,-0.065742016,1.6897385,1.3186774,0.78659976,-0.24202691,1.1140003,-0.10585722,0.27834153,0.82039875,0.30968824,1.889915,0.5685038,1.7430017,0.5360445,1.6860813,1.7987823,-0.0055217072,1.9736866,1.387177,-0.020326622
0.19955686,-1.8688302,1.5910617,0.30894962,-0.77455676,-0.051246885,1.7189956,1.5378258,0.9424629,-0.11641292,1.1249893,0.05614381,0.35101813,0.805977,0.3027412,1.8959979,0.46685427,1.6640971,0.54681844,1.5964466,1.6583301,-0.018379979,1.9804673,1.2206466,-0.03885705
0.13881142,-2.0296478,1.7407674,0.12222634,-0.699826,-0.11552626,1.7523689,1.8425223,0.9193243,-0.21850215,1.1427798,0.16470088,0.33670318,0.7306117,0.18163243,1.786753,0.5162609,1.6583886,0.5075237,1.6048721,1.6844145,-0.015163831,2.0292609,1.1248661,-0.034675665
0.13388646,-1.926591,1.6321481,-0.18093164,-0.6150279,-0.18096352,1.621998,1.9892929,0.90290964,-0.4252745,1.1521227,0.18242915,0.25839496,0.67456514,-0.027694073,1.660779,0.5080458,1.7475183,0.4634773,1.5832168,1.7564325,-0.026422791,2.0447242,0.920083,-0.037643023
0.14966267,-1.6743298,1.4088582,-0.29309335,-0.29524806,-0.16689837,1.3788701,2.0965855,0.84250534,-0.4502442,1.1621518,0.2594787,0.44794822,0.5629729,-0.25743833,1.5668454,0.5062094,1.6659749,0.41786206,1.4303412,1.5744643,-0.009797029,1.988361,0.76029795,-0.043835588
0.1604192,-1.4191765,1.2140497,-0.37156782,0.07764809,-0.12597346,1.0202814,2.3100343,0.79568696,-0.27117068,1.1584034,0.3468601,0.872278,0.39153245,-0.4337817,1.4274868,0.40959042,1.5246402,-0.5223523,1.3283871,1.2234919,-0.81212384,1.9444904,0.61887735,-0.8371515
0.1491914,-1.2475649,1.054172,-0.4088898,0.26521966,-0.11657977,0.5766835,2.6421616,0.78669274,-0.014323819,-0.44703647,-0.2662708,-0.42008227,-0.45759428,-0.40665135,-0.36232817,0.38704407,1.5204539,-1.6710391,1.3024492,1.1273707,-1.7498076,1.8706512,0.6407524,-1.7705587
0.107339084,-0.91285586,0.8224817,-0.7046038,0.31023416,-0.10945529,0.06967353,2.9534416,0.988081,0.09323175,-0.5855818,-0.29391757,-0.46758634,-0.466562,-0.40915462,-0.5012032,0.37586346,1.703326,-2.509875,1.3893837,1.3444827,-2.5402534,1.8331813,0.6766362,-2.5390527
0.099321395,-0.3468391,0.42622775,-0.8683371,0.3972133,-0.13064069,-0.48158634,2.9371178,1.0360528,0.063680604,-0.58735114,-0.2966062,-0.4652183,-0.46822038,-0.40707,-0.5085,1.2173607,1.6602527,-2.8497233,1.8985246,1.2064608,-2.8456407,2.0596266,0.82512045,-2.8481684
0.1026448,0.29663366,-0.04809994,-0.8838223,0.7661135,-0.16123348,-1.0458447,2.5521824,0.772946,0.17618833,-0.58814806,-0.29609784,-0.46642277,-0.46989396,-0.4064758,-0.51006544,1.9862146,1.346678,-2.843716,2.1801956,0.8962086,-2.8424394,2.235547,0.9548481,-2.8418937
0.13599434,0.9459478,-0.5635558,-0.30428502,0.8497156,-0.22256744,-1.515637,2.0856304,0.3680322,0.025450509,-0.5880486,-0.299543,-0.4665429,-0.4708775,-0.40847418,-0.5115565,2.5815582,0.8986925,-2.8441865,2.390226,0.84946895,-2.842964,2.3645782,1.2013493,-2.845047
0.20758587,1.4883803,-0.9899313,0.2287709,0.9877502,-0.29602963,-1.9220186,1.6834847,0.20526376,0.006206494,-0.58828497,-0.2982065,-0.4666735,-0.47207597,-0.4072363,-0.5100764,2.5629942,0.5387034,-2.8439033,2.3992047,0.96137667,-2.845916,2.3706605,1.3238901,-2.8441803
0.3021812,1.9020396,-1.2901086,0.6175687,0.8973688,-0.2954992,-2.2163374,1.2568415,0.051773638,-0.14123763,-0.5869639,-0.29964796,-0.46680516,-0.472464,-0.40829614,-0.50844896,2.3614647,0.34337538,-2.8435044,2.2962453,1.0795778,-2.8425565,2.357763,1.3024747,-2.841182
0.39897287,2.117518,-1.4115137,0.8126586,0.8330883,-0.27043653,-2.4316218,0.8528857,0.014177054,-0.073710814,-0.5845729,-0.3007664,-0.4671577,-0.47175148,-0.4073008,-0.50774276,2.1487355,0.24326377,-2.8418574,2.2369761,1.2996249,-2.8426776,2.304723,1.390732,-2.842476
0.44366324,2.0951383,-1.3390115,0.6143332,0.71603537,-0.24976373,-2.422591,0.4597437,0.003148526,0.23962466,-0.5857471,-0.30291578,-0.4693792,-0.4726794,-0.4063562,-0.5080129,1.9812174,0.2376876,-2.8396187,2.1784468,1.4352467,-2.8420134,2.2509837,1.3800932,-2.842304
0.44409418,1.9537674,-1.1253502,0.43952563,0.5128149,-0.2168473,-2.2319741,-0.02281072,-0.04927823,0.6236241,-0.5868527,-0.30008057,-0.46991035,-0.4724296,-0.4074112,-0.50793636,1.9582622,0.37806278,-2.8464077,2.1127403,1.4955509,-2.844852,2.158049,1.4113767,-2.8463688
0.32496208,1.5967957,-0.72740835,0.5070718,0.34008214,-0.20905387,-1.7857221,-0.488566,-0.5085443,0.822988,-0.58758867,-0.29466295,-0.4702115,-0.47147986,-0.41044483,-0.5111505,2.019391,0.7594313,-2.8433368,2.0838313,1.3993224,-2.8445652,2.1312087,1.3512198,-2.8472679
0.15033117,1.3444506,-0.35453135,0.66627127,0.6736536,-0.24986845,-1.2119416,-1.1038582,-1.0669631,0.75617754,-0.5855611,-0.29433155,-0.46894312,-0.47045794,-0.40681633,-0.51056325,1.7735701,1.1344182,-2.8417332,1.9065368,1.4210542,-2.8441339,2.0296323,1.3093832,-2.844193
0.025477946,1.1977477,-0.0915516,0.68200296,1.2392693,-0.2876866,-0.7805985,-1.6000593,-1.5642871,0.66346276,-0.5870205,-0.29320306,-0.46889502,-0.4692122,-0.40446755,-0.51045406,1.2820272,1.3861063,-2.8457334,1.6648126,1.4861214,-2.8429482,1.8835866,1.3103163,-2.8437192
-0.055816114,1.2872571,-0.0025447048,0.54789656,1.8284714,-0.3373586,-0.6049433,-1.9568809,-1.7034296,0.8387673,-0.5845068,-0.29898158,-0.46711117,-0.46909055,-0.40410182,-0.5098082,0.82162607,1.1818836,-2.8278558,1.4642595,1.61813,-2.8240664,1.6892997,1.3634266,-2.8370526
-0.14475125,1.2693422,0.02891105,0.46992448,2.044604,-0.36730182,-0.44865763,-2.0277064,-1.4457688,1.2100003,-0.5893453,-0.29196957,-0.46607915,-0.4695374,-0.3926071,-0.48944175,0.7365633,0.98527145,-1.8063712,1.3759345,1.482399,-1.8381095,1.6813699,1.2855711,-1.9020019
