Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
-0.25390252,-1.6975738,2.0021887,-0.42511198,-0.00067170337,-0.36899596,1.7530781,1.1400545,0.024419218,0.256838,2.2455542,-0.3420321,-0.42177528,2.1004426,2.6236742,2.2987652,1.1769831,2.026349,0.08953334,1.8121696,1.8554429,-0.29278296,2.218387,1.4031215,-0.40010732
-0.18678199,-1.8666371,2.246907,-0.03259571,-0.14087014,-0.13703853,1.8399011,1.4322443,0.046777576,0.17884542,2.2400599,-0.30557162,0.62763584,2.2170675,2.8968697,2.349418,1.5889788,2.0718746,0.10605622,2.0587564,2.0087073,-0.26699573,2.3549871,1.6943051,-0.35665888
-0.0702385,-1.9229151,2.4067645,0.48020092,-0.0096565075,0.13769454,1.9106065,1.6066552,-0.015357822,0.3148833,2.2278862,0.36240312,3.1087267,2.2169333,3.1397386,2.412981,1.901216,1.9091388,0.06978869,2.2309206,1.8530697,-0.29245752,2.4694803,1.6979125,-0.39320356
0.09467012,-1.8000671,2.434669,0.70644987,-0.017945249,0.27145255,1.9999675,1.5082104,-0.3083832,0.35889208,2.1777298,1.2025236,2.7542148,2.0903947,2.9862788,2.3824887,2.1680331,1.7146969,0.05307985,2.3553555,1.7055951,-0.32808417,2.5711718,1.5427883,-0.3846869
0.25848702,-1.6498646,2.3893516,0.43331328,-0.014601011,0.40992582,2.0266783,1.4443778,-0.4271892,0.48432332,2.1134965,1.0076642,2.3425481,1.8075426,2.2145712,2.0200021,2.0900836,1.4434074,0.12262101,2.335293,1.429085,-0.27893752,2.5505705,1.2145218,-0.29798883
0.379005,-1.7451953,2.4383028,0.14662234,-0.24709372,0.5153651,2.066907,1.5561438,-0.35677966,0.43157446,2.0678935,1.120002,1.9327639,1.4175625,1.1287972,1.5320033,2.0853496,1.3388677,0.18635401,2.3446968,1.3795271,-0.2229864,2.5174232,1.1085596,-0.19027215
0.48738587,-1.8819273,2.4416444,0.16860037,-0.6301377,0.49916565,2.0930362,1.6589762,-0.2090222,0.13064612,2.0473874,1.0715865,1.0447792,1.2758229,0.12902072,1.1178712,2.085247,1.3104944,0.23665375,2.3986416,1.5006094,-0.16675991,2.4778361,1.1707536,-0.07271726
0.85480034,-1.625896,2.1218495,0.73373014,-1.3922226,0.95547086,2.0577226,1.4236126,-0.16410479,-0.7032559,2.0353665,0.681634,0.36122608,1.5627861,-0.2985576,0.9869255,1.5625877,1.5775306,0.33019543,1.9799857,1.8383276,-0.013145737,2.2476013,1.0704484,0.01969289
1.349798,-1.0725352,1.5839889,0.9680042,-2.122686,1.4626892,1.9062513,1.1140637,-0.3185173,-1.7952274,2.0217688,0.68933165,0.39577448,1.8907195,-0.34391686,0.94434714,1.4873352,1.743073,0.3903972,1.8875481,1.8520961,0.08793957,2.2341034,0.7506172,0.08256363
1.8076309,-0.4045891,1.1051693,1.0780679,-2.4511118,1.5063591,1.7083844,0.7985014,-0.4715539,-2.5950003,2.0162747,0.7003234,0.5050272,1.9957855,-0.31423852,1.0107509,1.3566492,1.8605055,0.40273333,1.7369052,1.9432027,0.15670544,2.2171652,0.6459844,0.080090396
2.0139391,-0.13977444,0.85940677,1.0033212,-2.477414,0.8733558,1.661821,0.61935985,-0.482448,-2.9193468,2.0024464,0.6301561,0.5196444,1.954191,-0.23453572,1.0740026,1.907934,1.6570398,0.38149354,2.139855,2.3453326,0.024141856,2.2862592,0.6452125,0.075290136
1.9696407,-0.24717674,0.81516796,1.3056664,-2.6197739,0.5154559,1.6515434,0.66457415,-0.35798493,-3.1773014,1.991661,0.16429538,0.08173024,1.9595659,-0.0765539,1.3785377,1.4874353,1.7980729,0.37433943,1.8661686,1.8665495,0.042347737,2.2353547,0.7577838,0.021693043
1.7099875,-0.49115443,0.8827593,1.5160854,-2.842773,0.66316396,1.6463128,0.9749472,-0.12700936,-3.4231853,1.9705554,-0.045661237,0.056212418,2.0699854,0.24384919,1.7234567,1.5512401,1.6717976,0.35477075,2.0276217,1.8070773,-0.050520115,2.2358081,0.87661976,-0.040669747
1.3371063,-0.97208136,1.078918,1.4246316,-2.8423717,0.77497786,1.7283046,1.4112834,0.13305053,-3.2989845,1.9654729,0.019576672,0.36773658,2.2606752,0.5832062,2.104535,0.91893023,1.9539654,0.3892892,1.4849964,1.5985651,-0.00847476,2.0851912,0.6252717,-0.114344425
0.9921031,-1.432588,1.3598794,1.1575588,-2.7487743,0.64117855,1.8428866,1.8312247,0.23870352,-2.9102495,1.9539086,0.10791847,0.55255175,2.4143617,0.7692386,2.2264907,1.3252609,1.8396982,0.3307818,1.9110157,1.7968465,-0.12972838,2.1985958,0.9810067,-0.13851124
0.7511275,-1.7456714,1.6494397,1.2221978,-2.5647643,0.3150555,1.9696971,2.1006906,0.18181333,-2.3663645,1.936142,0.068211064,0.4448204,2.474312,0.77580667,2.364601,1.4217746,1.8412995,0.30779806,2.0590832,1.7980798,-0.18508297,2.2495692,1.2069643,-0.17614335
0.66010535,-1.8579394,1.7917769,1.239918,-2.4741242,-0.023664776,2.0164914,2.1955879,0.04533866,-2.0327587,1.928494,0.018375669,0.16076218,2.4824564,0.71213573,2.3394256,1.9140184,1.7719069,0.22136337,2.489632,2.0780308,-0.28608698,2.4026778,1.6168867,-0.17166346
0.6058351,-1.9685198,1.8485447,1.078279,-2.453537,-0.13837892,2.0047836,2.3557084,-0.055831045,-1.8266575,1.9281297,-0.06289902,-0.054579385,2.4840243,0.5539072,2.2798343,1.879319,1.7469683,0.22980213,2.4531047,2.0211189,-0.3207274,2.4109602,1.5095762,-0.1578669
0.5999986,-2.0484939,1.7702385,0.83566946,-2.5566227,-0.19025278,2.012454,2.5037293,-0.10870668,-1.8736814,1.9251835,-0.1294839,-0.16661276,2.4603946,0.3212329,2.1915278,1.7360005,1.7311563,0.26498514,2.3449676,1.9451184,-0.32276446,2.4072242,1.2390319,-0.1499471
0.6322185,-2.066121,1.704693,0.7322518,-2.7334387,-0.18017262,2.0368383,2.6205528,-0.122044474,-2.08933,1.9352466,-0.1803733,-0.17246081,2.3860722,0.110145725,2.1093674,1.6608758,1.619888,0.29966873,2.3137794,1.7671889,-0.3064068,2.4127796,1.0895009,-0.13666636
0.7033323,-2.0180655,1.6325271,0.81574005,-2.9174147,-0.15075427,2.0412428,2.5854661,-0.16829231,-2.2757168,1.9515905,-0.19096208,-0.14875652,2.256426,-0.06672981,1.9447836,1.5828164,1.572599,0.32956356,2.330544,1.502598,-0.29213566,2.4345467,1.0444973,-0.10007591
0.7904589,-2.0246358,1.6426235,0.9803496,-3.1273367,-0.10911113,2.076841,2.5095842,-0.2819949,-2.4277167,1.961299,-0.18208826,-0.10777039,2.0351844,-0.14162412,1.7506245,1.6635749,1.5613039,0.3490914,2.3212247,1.5173209,-0.23761219,2.4476883,0.99206144,-0.052259393
0.8926643,-1.9002457,1.5794195,1.1562352,-3.1908863,0.0154947005,2.1082134,2.2751706,-0.3457124,-2.6070943,1.9748763,-0.17617431,-0.0545075,1.8626041,-0.10417678,1.5442431,1.2810628,1.7357024,0.4017251,1.9565154,1.6735393,-0.06949132,2.286268,0.9752751,-0.013691016
1.1079888,-1.5292128,1.3748244,1.3708756,-3.1467175,0.2883262,2.077117,1.8348691,-0.46422622,-2.9878516,1.9919018,-0.16022578,0.009054294,1.77752,-0.025966015,1.3257891,1.4453714,1.7520038,0.41225988,1.9097697,1.9722944,0.028895326,2.3128624,0.9890093,0.031751506
1.383798,-0.89845425,1.1398593,1.4952722,-2.9165828,0.59735435,1.9815189,1.1888157,-0.5714867,-3.3466983,2.0133762,-0.077204615,0.16874431,1.7952114,0.003955637,1.1938014,1.024557,1.872616,0.42382318,1.5382782,1.7883698,0.1719386,2.1227942,1.1246207,0.058145814
1.6558628,-0.31731528,0.863615,1.446129,-2.4998937,0.7636263,1.8281783,0.55378926,-0.5951067,-3.3671343,2.0232723,-0.010585096,0.32366884,1.8940303,-0.035837736,1.0410419,0.91626525,1.7991078,0.41793787,1.4719869,1.5959816,0.23080903,2.1437566,0.8280374,0.07845693
