Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
0.52098626,-0.7334287,0.9713214,0.6523133,-0.2830771,-0.25002068,1.4101248,-0.110960335,0.32846835,-1.7153603,2.1154242,-0.2992947,2.121463,1.0669188,0.093697645,1.1083311,0.28042245,1.8731072,0.40552872,1.1278833,1.3217477,0.19889432,1.8647623,0.68465656,0.090012304
0.49940324,-0.741931,1.0218703,0.39940563,-0.2843443,-0.04626519,1.301639,0.009265587,0.25910464,-1.4669336,2.0897539,0.010781977,1.5692757,0.8301575,0.2830142,0.87721246,0.39350384,1.8858075,0.31930804,1.211996,1.3946565,0.1472773,1.8572706,0.80040944,0.047220998
0.41113067,-0.7024388,0.9402451,-0.04981132,-0.21714665,0.011056837,1.0445465,0.26592997,0.36478445,-0.765164,2.010925,0.07759297,0.9491229,0.51513237,0.46337578,0.62161654,0.52738184,1.9539934,-0.8848159,1.3165218,1.4575897,-0.96697074,1.8919603,0.9009435,-0.9820854
0.3098435,-0.46949607,0.7876351,-0.13469191,0.36942253,0.0059513412,0.53219485,0.37010023,0.66065645,0.03874324,-0.5862984,-0.29835513,-0.46713242,-0.46872035,-0.40298656,-0.50522554,1.2401958,1.6886511,-1.8062822,1.6515082,1.4746451,-1.8534869,1.9626979,1.2154623,-1.8729475
0.27608922,0.08999193,0.3467064,-0.5160145,1.2143204,-0.07330364,-0.15521419,0.013867557,0.8696127,0.72896326,-0.5902865,-0.3012409,-0.4704845,-0.468832,-0.40123394,-0.5113486,1.8184214,1.3336098,-2.8434196,1.9595387,1.4960504,-2.8493474,2.0078943,1.3292007,-2.8466601
0.21389928,0.71056706,-0.12110418,-0.62037855,1.8541975,-0.1585232,-0.78087175,-0.354722,0.61380064,1.0122106,-0.59052217,-0.29920557,-0.470143,-0.471638,-0.4026833,-0.50776255,1.6204321,1.102585,-2.8467233,1.8872505,1.4215455,-2.8403628,1.9983673,1.4135858,-2.8443887
0.17195779,1.024729,-0.3234629,-0.9314247,1.9023933,-0.23523921,-1.1626252,-0.58144796,0.22868833,0.8970628,-0.5892172,-0.29867697,-0.4699099,-0.4700807,-0.4033797,-0.50980055,1.283199,0.7369257,-2.8434498,1.7279079,1.3740807,-2.8391056,1.9309331,1.3553305,-2.8439639
0.08144665,1.0256201,-0.2939523,-1.0051798,1.7955471,-0.29974157,-1.4262984,-0.56262237,-0.022693902,0.69952846,-0.58733046,-0.29846814,-0.46978307,-0.46827248,-0.4034796,-0.50965345,1.2210932,0.7408644,-2.8461325,1.6239823,1.4341612,-2.8427384,1.8499019,1.3610777,-2.8451858
0.028244376,1.0132074,-0.2538603,-0.99797386,1.623924,-0.34712094,-1.5760816,-0.5861075,-0.05588022,0.5469973,-0.58509225,-0.29665637,-0.46772492,-0.46890685,-0.40435866,-0.51001275,1.2607788,0.87399894,-2.846145,1.6008568,1.4142267,-2.8440135,1.8555892,1.3399327,-2.8432007
0.028213084,0.9915709,-0.20475286,-0.95307434,1.5636346,-0.36301953,-1.6146897,-0.6213758,-0.09323737,0.64711356,-0.58636,-0.29705384,-0.46720937,-0.47097746,-0.40357652,-0.50958836,1.3571993,0.978039,-2.845167,1.6241204,1.462076,-2.8426344,1.8911245,1.390263,-2.8447778
0.055707037,1.0478379,-0.25541598,-0.80802125,1.6546695,-0.35216165,-1.5521338,-0.8566141,-0.1447613,0.75225645,-0.5859779,-0.29760173,-0.46854442,-0.47417971,-0.40167007,-0.50711524,1.3918086,0.921139,-2.8388832,1.6466242,1.4816647,-2.8414674,1.8990921,1.4747257,-2.842383
0.060034513,1.0774959,-0.31575143,-0.74405676,1.7432133,-0.36134255,-1.4390405,-1.0124682,-0.27525982,0.54839265,-0.5803474,-0.29752105,-0.46540794,-0.46476915,-0.39354947,-0.5064498,1.2392466,0.79292953,-1.8143796,1.6607839,1.3395915,-1.849846,1.9291427,1.4004998,-1.8781441
0.07286078,0.99561805,-0.33044744,-0.53655285,1.3605319,-0.36327392,-1.0773283,-0.8902534,-0.27171445,0.1301349,2.1332014,-0.30142277,-0.4621908,1.2843349,0.58667624,1.6825169,0.9937039,0.83966833,-0.6382745,1.6528302,1.2625552,-0.85114837,1.8940986,1.3229802,-0.89376444
0.06906173,0.07034516,0.21467692,-0.2598376,0.10558839,-0.14211124,-0.1971066,0.005235225,-0.04611945,-0.53019845,2.1346223,-0.30387756,-0.45940852,1.670968,0.49697343,1.8670185,1.0994115,1.3453171,0.36524317,1.6811819,1.5049139,-0.015784197,1.9019785,1.3058989,-0.046392687
0.1312404,-0.9665178,0.9540542,0.0908833,-1.1481543,0.06336367,0.76514995,1.0682875,-0.011063546,-1.1832707,2.1292102,-0.28912598,-0.44730157,2.130832,0.3016155,1.9685352,1.178236,1.7987201,0.419241,1.8097259,1.7401617,-0.02002304,2.0549612,1.2293068,-0.052848287
0.2492387,-1.6933823,1.4830799,0.58023936,-2.15633,0.1514582,1.3220373,1.8936442,-0.15951869,-1.6966126,2.1123335,-0.30876538,1.0156624,2.29514,0.0583413,1.8878999,1.2609215,2.0099614,0.43637472,1.9628233,1.7241921,0.037521787,2.170425,1.2998588,-0.033573814
