Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
0.63213956,-2.0660844,1.7046316,0.73238707,-2.7329476,-0.18006463,2.0370893,2.6207213,-0.12229809,-2.0894964,1.9352262,-0.1803367,-0.17232661,2.3859165,0.1103469,2.1092699,1.6609201,1.6198839,0.299644,2.3136938,1.7672529,-0.30650264,2.4128056,1.0891886,-0.13667029
0.7032758,-2.0180597,1.6325009,0.8157864,-2.917017,-0.15066613,2.0414863,2.5856295,-0.1683971,-2.2757683,1.9515582,-0.19098467,-0.1486757,2.2563028,-0.06647226,1.9446943,1.5828097,1.5725306,0.32954916,2.3305876,1.5024061,-0.29223418,2.434596,1.044308,-0.10006623
0.7903904,-2.0247004,1.6426033,0.9801547,-3.1269495,-0.10916269,2.0770812,2.509773,-0.28218135,-2.4277782,1.9612812,-0.18215267,-0.10780469,2.035142,-0.14136766,1.7505765,1.6636379,1.5613674,0.3490734,2.3212311,1.5173737,-0.23767522,2.4477038,0.9919216,-0.052258193
0.8926357,-1.9002631,1.5793737,1.1559078,-3.1905854,0.015569087,2.1084275,2.2753148,-0.34601507,-2.6071482,1.9748353,-0.17620586,-0.054745175,1.8624169,-0.10384453,1.5442959,1.281101,1.7357455,0.40172306,1.9565176,1.6736728,-0.069538265,2.2863133,0.97531694,-0.0137022585
1.1079203,-1.5292529,1.374877,1.3709769,-3.1462815,0.28829452,2.0772812,1.8350387,-0.46460912,-2.9878094,1.9918702,-0.16015571,0.008914763,1.7771869,-0.02567412,1.3259559,1.4452157,1.7520311,0.41223875,1.909605,1.9723629,0.028840538,2.3128712,0.9891574,0.031720847
1.3838313,-0.8984564,1.1399978,1.4950792,-2.916065,0.5974306,1.9817783,1.1889275,-0.571825,-3.3465283,2.0133529,-0.07716544,0.16870888,1.7946838,0.0042538866,1.1940751,1.0247334,1.8725362,0.423778,1.5384424,1.7883402,0.1718072,2.1229093,1.1245321,0.05810222
1.6558502,-0.3172693,0.8637427,1.4460816,-2.4993188,0.763744,1.8284345,0.5539354,-0.59528506,-3.366876,2.0232425,-0.010599244,0.32377285,1.8936274,-0.03547695,1.0413895,0.916389,1.7990566,0.4179234,1.4721189,1.5958973,0.23068872,2.1438315,0.8280126,0.078404136
1.782706,-0.039842263,0.7176708,1.3426657,-2.157524,0.6920296,1.7263861,0.2340548,-0.6043925,-3.2369723,2.0512974,0.030768823,0.27709678,2.0587575,-0.08726208,1.0494574,0.47520858,1.8626683,0.43375438,1.0856644,1.3193854,0.3917682,2.053932,0.8964625,0.06979749
1.7891873,-0.00079532526,0.635294,1.1286572,-1.7523419,0.52347815,1.6672412,0.042440392,-0.6169394,-2.930471,2.0655193,0.04682502,0.13536465,2.2467837,-0.13890591,0.8188931,1.0521624,1.8101064,0.4102631,1.480281,1.5825744,0.2932141,2.2135298,0.71963686,0.117188625
1.7385505,-0.019000676,0.60265374,1.1491168,-1.5172964,0.35616457,1.627877,-0.073708415,-0.61827266,-2.690419,2.0763514,0.019859541,0.0005209241,2.3746908,-0.17005813,0.6728245,1.2028695,1.9308659,0.4098263,1.5213275,1.7731674,0.31068978,2.1715457,0.8285907,0.15261647
1.723515,0.05375181,0.5422831,1.2734945,-1.26036,0.18521348,1.6422653,-0.2447943,-0.6164292,-2.5122492,2.07993,-0.009076115,-0.055579014,2.4006522,-0.20306176,0.5607835,1.1443671,1.9531269,0.42670017,1.4618421,1.7748762,0.33757627,2.1803818,0.8371122,0.18864277
1.7430327,0.15036623,0.46339113,1.3615427,-1.023069,0.092517234,1.6552854,-0.4697485,-0.51473045,-2.3661685,2.0804234,-0.073669106,-0.11391827,2.3680933,-0.22881545,0.6193216,0.6531236,2.1656399,0.43593132,1.138989,1.5461706,0.41908762,2.0719836,1.0848068,0.17150727
1.8174489,0.24510086,0.3678869,1.4394126,-0.8608486,0.056720342,1.6644304,-0.68974817,-0.3708361,-2.3882542,2.0743234,-0.12268202,-0.10901532,2.2909763,-0.22067481,0.6011913,1.1940985,1.9158081,0.4087035,1.480579,1.7615204,0.33522958,2.1861024,0.73327184,0.18828648
1.8514602,0.21762353,0.36718655,1.3655355,-0.697807,0.069806054,1.7043346,-0.81027186,-0.26935235,-2.3694224,2.086583,-0.18624327,-0.108852945,2.195587,-0.23132764,0.6434346,1.1408153,1.9680898,0.4004097,1.4211508,1.7809365,0.3445727,2.1280048,0.7378009,0.17549762
1.9415715,0.21344995,0.42256698,1.2331642,-0.57397777,0.14270158,1.7085863,-0.9389832,-0.11916722,-2.3450565,2.0917115,-0.18553051,-0.046860114,2.042696,-0.26674742,0.68268996,0.8400771,1.8006287,0.43250853,1.3568509,1.3875593,0.36325863,2.138319,0.761794,0.17150408
2.0728095,0.22015122,0.43666005,0.83812076,-0.2704166,0.23803312,1.6536984,-1.1346449,0.00047635287,-2.1968799,2.1091692,-0.17142044,-0.00891993,1.8038952,-0.30779782,0.78287923,0.37768275,1.8774061,0.4574657,1.1100422,1.2890234,0.3853182,1.9819274,1.064226,0.14480808
2.2173393,0.19090718,0.42216378,0.6543226,-0.08840908,0.38098958,1.596446,-1.4042189,0.19767338,-1.9972664,2.1198819,-0.1579427,0.034140736,1.5988961,-0.33812955,0.8324884,0.7294883,1.9494827,0.42507398,1.3002853,1.4306996,0.2987729,2.0143588,1.0143763,0.13945445
2.236023,0.08527566,0.43669257,0.9274563,-0.10808773,0.59765744,1.5221201,-1.4878112,0.40711495,-1.9224485,2.1347694,-0.14865446,0.051588193,1.5669961,-0.27564672,0.8558096,0.7945821,2.0806546,0.41246817,1.3133098,1.493097,0.23602805,1.9658655,1.0619172,0.13885248
2.2208238,-0.07171029,0.46280384,1.1845104,-0.40296498,0.7724484,1.4339662,-1.55162,0.8418262,-1.886248,2.1608412,-0.09852788,0.076243564,1.7045091,-0.043569908,0.90405774,0.77416027,1.8309783,0.43515718,1.4289757,1.2578506,0.17120785,1.9906828,0.97486097,0.1344459
2.1158767,-0.20428135,0.49986872,1.3767135,-0.91251016,0.8542354,1.3921264,-1.5045216,1.329508,-1.9156077,2.1765885,-0.04333308,0.08892414,1.9078122,0.4081363,0.989658,0.48345566,1.5053647,0.49165845,1.449511,0.932837,0.09833406,1.9414169,1.1562717,0.12707627
2.0058534,-0.39031518,0.52579796,1.5691522,-1.3939052,0.8593662,1.299507,-1.2407109,1.8256959,-1.9089799,2.1808856,0.03446222,0.1305388,2.0639942,1.0934601,1.0583797,0.4568013,1.4074682,0.50915265,1.5483235,0.7243551,0.032675833,1.9467502,1.3799921,0.12258219
1.8254563,-0.55909604,0.5188077,1.4960004,-1.7338575,0.77911335,1.2297487,-0.79860735,2.2347128,-2.0560832,2.1878347,0.04618291,0.14883097,2.0762832,1.8057199,1.177244,0.47605324,1.4622492,0.48598826,1.7051097,0.54907995,-0.016231652,2.0702627,1.3696139,0.0894563
1.6399302,-0.7578703,0.6361005,1.3995974,-1.8458766,0.6251074,1.2527695,-0.32644945,2.5211635,-2.1700177,2.1963415,-0.017290074,0.06198167,2.1127253,2.4457662,1.4944744,0.82978195,1.4639335,0.34266677,1.8368177,0.49458355,-0.09088474,2.1502156,1.1772499,-0.021014985
1.3529295,-1.0255543,0.882748,1.3880475,-1.7555993,0.6198983,1.292946,0.26336864,2.3972583,-2.1021428,2.1954474,-0.070791334,0.07907999,2.4015968,2.799143,1.9035686,1.1710168,1.6519939,0.19912589,1.9949569,0.59397405,-0.16996133,2.1871364,0.975375,-0.15635163
0.9909651,-1.533345,1.350141,1.2612938,-1.479847,0.66922754,1.5260223,0.8802346,1.6335325,-1.5604688,2.2088768,0.07215751,0.35309812,2.6977394,2.9933846,2.3293443,1.5030907,1.6963352,0.1277292,2.1731265,0.98707366,-0.23442873,2.2116747,1.0821579,-0.27501264
0.7088179,-1.9038479,1.8423142,1.214349,-1.1723564,0.5548684,1.766005,1.3975337,0.74403834,-0.97193563,2.2009208,0.4269608,0.454077,2.7927573,3.183901,2.6833286,1.596678,1.8311828,0.110310905,2.2202387,1.4774716,-0.27483052,2.336471,1.2519121,-0.3548729
0.61744535,-2.1354027,2.2013593,0.81269413,-0.9883352,0.1478357,1.9765853,1.7316082,0.08146408,-0.56971794,2.1828754,0.39770773,0.2872112,2.674558,3.452283,2.850051,1.7581874,1.8950402,0.08436083,2.3232515,1.6738449,-0.30203348,2.495224,1.6762192,-0.40279004
0.6068767,-2.2165182,2.316331,0.6176148,-0.89746964,-0.08223611,2.05551,1.8835074,-0.0965471,-0.2004269,2.1499832,0.11402683,-0.11211685,2.3799489,3.709155,2.8450394,1.7994688,1.9555329,0.049335517,2.3452513,1.7384105,-0.31076166,2.5477529,1.8057638,-0.41755313
0.5895698,-2.3218684,2.3724477,0.16931026,-0.80019265,-0.05227786,2.0590627,2.0455887,-0.063127086,0.19845787,2.1109033,-0.04308978,-0.24074183,1.9760457,3.581792,2.726528,1.8427954,1.9968706,0.027550027,2.361158,1.7617621,-0.31886244,2.5704222,1.8696256,-0.41301468
0.57557964,-2.4722922,2.416072,-0.2829138,-0.78207517,0.17628205,2.01174,2.2044935,0.055960294,0.45273516,2.0605378,-0.053227823,-0.24577071,1.4763254,2.8924942,2.489247,1.8095254,2.001233,0.031379692,2.3494568,1.729006,-0.30587214,2.5575743,1.8510239,-0.3864311
0.47150773,-2.6582706,2.4211645,-0.4799038,-0.927139,0.6295212,1.9684008,2.3349373,0.25428617,0.47861132,2.0283628,-0.13088685,-0.33895406,1.2400044,2.1332815,2.3261144,1.8429248,1.9064059,-0.92162716,2.3502388,1.5624483,-1.1386842,2.5422301,1.6650585,-1.2185482
0.27105114,-2.6582987,2.4194188,-0.8547014,-1.0481277,1.1101677,1.9310803,2.322627,0.3442742,0.54324085,-0.585251,-0.2935285,-0.4674084,-0.46704426,-0.41444913,-0.52320427,1.9267746,1.7457048,-1.884504,2.342224,1.4146898,-1.9682008,2.5378382,1.4595562,-1.9746121
0.11690135,-2.284501,2.194308,-0.72769874,-1.351505,1.2986552,1.9174123,1.8416698,0.0671697,0.31081194,-0.5904234,-0.29821754,-0.46447685,-0.463177,-0.40689164,-0.5103143,1.8486992,1.5438635,-2.8446193,2.3057673,1.2291058,-2.840776,2.5060406,1.2307025,-2.8394585
